name,aliases,place,wikidata,region,group,usage,lon,lat,cid
novoprokopivka,novoprokopevka;novoprokopivka;novoprokopovka,village,Q4325070,zaporizhzhia oblast,dnepr group of forces,0,35.831909,47.420078,590161709722277909
voronivka,voronivka;voronovka,hamlet,Q4125689,kherson oblast,,0,31.030078,46.656687,586952020347313102
tiahynka,tiahynka;tjahynka;tyaginka;tyahynka,village,Q4467832,kherson oblast,dnepr group of forces,0,33.059231,46.776348,588063106748537631
zahirne,zaghirne;zagirne;zagornoe;zagornoye;zagornye;zahirne,hamlet,Q4183525,zaporizhzhia oblast,vostok group of forces,0,36.173290,47.567606,591492248287495914
balka zhuravka,balka zhuravka;nevske;nevskoe, village, Q4315894,luhansk oblast,sever group of forces,0,37.97493,49.157982,580799658714843658
kornylivka,kirove;kornylivka,village,Q4221590,cherkasy oblast,,0,31.325800,49.481731,5990717705936994116
verkhnia tokmachka,tokmachka verkhnya;upper tokmachka;verkhna tokmachka;verkhnaya tokmachka;verkhnia tokmachka;verkhniaya tokmachka;verkhnya tokmachka;verkhnyaya tokmachka;verkhnyaya tokmachna,village,,zaporizhzhia region,dnepr group of forces,0,36.3389,47.4598,604901722883441812
pisky-radkivski,peski radkovskie;piski radkivski;pisky radkivski;pisky radkovski,village,Q4359614,kharkiv region,sever group of forces,0,37.61095,49.265369,598140201243015878
plyashevka,pliashivka;plyashevka;płaszówka,village,Q4366022,rivne region,zapad group of forces,0,25.25208,50.32699,602699833001371120
yevpatariya,evpatoriya;kezlev;khozlev;kozlev;yevpatariya;yevpatoria;yevpatoriya,city,Q33345,crimea,yug group of forces,0,33.367905,45.190764,580853737412046889
severodonetsk,liskhimstroy;severodonetsk;severskodonetsk;sievierodonetsk;siverskodonetsk,city,Q160584,luhansk region,sever group of forces,0,38.493648,48.947870,596011004078779208
melitopol,melitopol,city,Q33349,zaporizhzhia region,dnepr group of forces,0,35.382728,46.846727,587679616388156568
tokmak,tokmak,town,Q760235,zaporizhia region,dnepr group of forces,0,35.709221,47.255019,589505818032567845
chervonohryhorivka,chervonogrigorovka;chervonohryhorivka,urban type settlement,Q3516605,dnipropetrovsk region,vostok group of forces,1,34.50583,47.61889,591068632076327270
vesele,vesele;veseloye,village,Q4109831,zaporizhzhia region,dnepr group of forces,1,35.739726,47.189406,589224012343405902
novoandriivka,novoandreyevka;novoandriivka,village,Q4323143,zaporizhzhia region,dnepr group of forces,1,35.699274,47.546986,590759806749069130
zatyshshia,zatishye;zatyshshia,village,Q4188392,zaporizhzhia region,dnepr group of forces,1,36.32011,47.68719,591361978344458350
vesele,vesele;veseloye;veselye;vessele;vesyoloye;wesele,village,Q4109794,zaporizhzhia region,dnepr group of forces,0,34.93067,47.998248,592697962280228078
orikhiv,orekhiv;orekhov;orichiv;orikhiv,city,Q521105,zaporizhzhia region,dnepr group of forces,2,35.7875,47.5675,590847913708267500
zelenyi hai,zelenyi gay;zelenyi hai;zelenyy gay;zelenyy hai;zelyony gay;zelyonyy gay,village,Q4190855,dnipropetrovsk region,vostok group of forces,1,34.379167,47.566111,590841947997285023
kamianske,kamenskoye;kamianske,village,Q4230435,dnipropetrovsk region,vostok group of forces,1,34.42606,47.61719,591061330631844300
musiivka,musievka;musiivka;musiovka,village,Q4308352,dnipropetrovsk region,vostok group of forces,1,34.44765,47.61139,591036419821549090
novokamianske,novokamenskoye;novokamianske,village,Q4230441,dnipropetrovsk region,vostok group of forces,1,34.41,47.6,590987500144010000
zelenyi hai,zeleny gai;zelenyi hai,village,Q4294214,dnipropetrovsk region,vostok group of forces,1,34.54,47.59,590944550471180000
pershotravneve,pershotravneve;pershotravnevoye,village,Q4230442,dnipropetrovsk region,vostok group of forces,1,34.38,47.62,591073399489900000
vesele,vesele;veseloye;veselye;vesseie;vesyoloye;wesele,settlement,q2064567,zaporizhzhia region,dnepr group of forces,0,34.921194,47.018861,588491527145091050
stepove,stepove;stepovoye,village,Q4442207,zaporizhzhia region,dnepr group of forces,1,35.482361,47.54472,590750070057992185
shcherbaky,scherbaki;shcherbaky,village,Q4528792,zaporizhzhia region,dnepr group of forces,1,35.582167,47.550818,590776265063630295
prymorske,primorskoye;prymorske,village,Q3211683,zaporizhzhia region,dnepr group of forces,1,35.294284,47.624383,591092224332472652
kamianske,kamenskoye;kamianske,village,Q4211413,zaporizhzhia region,dnepr group of forces,1,35.366333,47.543139,590743284009548477
dobropillia,dobropillia;dobropolye,village,Q4163752,zaporizhzhia region,dnepr group of forces,1,36.19516,47.782489,591771284432674904
temyrivka,temirovka;temyrivka,village,Q4454456,zaporizhzhia region,dnepr group of forces,1,36.572395,47.825043,591954052471366123
mala tokmachka,mala tokmachka;malaya tokmachka,village,Q4277416,zaporizhzhia region,dnepr group of forces,1,35.898056,47.5375,590719064689498056
novodarivka,novodarivka;novodarovka,village,Q4323563,zaporizhzhia region,dnepr group of forces,1,36.63474,47.78303,591773608010421620
robotyne,robotino;robotyne,village,Q4386777,zaporizhzhia region,dnepr group of forces,2,35.826111,47.443056,590313430798122687
novodanylivka,novodanilovka;novodanylivka,village,Q4323554,zaporizhzhia region,dnepr group of forces,1,35.824939,47.525775,590668706197879339
novoandriivka,novoandriivka;novoandriyivka,village,none,zaporizhzhia region,dnepr group of forces,0,35.4571,47.5043,590576471774829900
stepove,stepnoye;stepove;stepovoe,village,q4442207,zaporizhzhia region,dnepr group of forces,0,35.4829,47.54305,590742901757575700
solodke,sladkoe;sladkoye;solodke;solodkoe,village,Q4423146,zaporizhzhia region,vostok group of forces,0,36.32028,47.78583,591785633918535960
solodke,sladkoe;sladkoye;solodke;solodkoe,village,Q4423148,zaporizhzhia region,dnepr group of forces,0,35.19444,47.14556,589035695206800200
pryvilne,privolne;privolnoye;pryvilne,village,Q4377945,zaporizhzhia region,dnepr group of forces,0,35.60017,48.05797,592954466317749290
mala tokmachka,mala tokmachka;mala tokmachku;malaya tokmachka;malaya tokmachku,village,Q4025836,zaporizhzhia region,vostok group of forces,0,35.88333,47.65,591202248510283330
nove zaporizhzhia,nove zaporizhzhia;novoe zaporozhye;novoye zaporozhye,village,Q4392577,zaporizhzhia region,vostok group of forces,0,34.93333,47.82806,591967010386059090
vasiukivka,vasiukivka;vasyukivka;vasyukovka,village,Q4173796,donetsk region,<ru_group>,<usage>,38.0217,48.728,595832223257509700
huliaipole,gulyai pole;gulyaipole;gulyaypole;huliaipole;huljajpole,city,Q640649,zaporizhzhia region,dnepr group of forces,2,36.263169,47.664439,591264263543450113
zaporizhzhia,zaporizhzhia;zaporizhzhia city;zaporizhzhya;zaporozhye;zaporozhye city;zaporozhzhya,city,Q44279,zaporizhzhia region,dnepr group of forces,0,35.1396,47.8388,592013138335024400
stepnohirsk,stepnogorsk;stepnohirsk;stepnohirsk urban;stepnohirske, settlement,Q757912,zaporizhzhia region,dnepr group of forces,,35.35361,47.60361,591003004976892170
dnipro,dnepr;dnepropetrovsk;dnipro;dnipropetrovsk;yekaterinoslav,city,Q48256,dnipropetrovsk region,tsentr group of forces,0,34.9955705,48.4661224,594707461513974386
donetsk,donetsk;stalin;stalino;yuzovka,city,Q43070,donetsk region,tsentr group of forces,0,37.7621125,47.9826086,592630793289517377
valley of ghosts,dolina privideniy;dolina privideny;valley of ghosts,locality,Q4164930,autonomous republic of crimea,,0,34.4075426,44.7499554,578746650076879223
katsiveli,katsiveli,town,Q3887476,autonomous republic of crimea,,0,33.972685,44.3961499,577227069172283085
liubymivka,liubomivka;liubymivka;liubymovka;lyubimovka;lyubomovka;lyubymivka,village,Q4271538,dnipropetrovsk region,tsentr group of forces,0,35.1773623,48.3762849,594321618832152722
pavlohrad,pavlagrad;pavlograd;pavlohrad,city,Q237206,dnipropetrovsk region,tsentr group of forces,0,35.8754525,48.5303995,594983537717673853
mariupol,mariupol;zhdanov,city,Q37133,donetsk region,tsentr group of forces,0,37.6105024,47.1285537,588962654995380486
apostolove,apostolove;apostolovo,town,Q475572,dnipropetrovsk region,vostok group of forces,0,33.7152112,47.6622205,591254733008472331
kryvyi rih,krivoy rog;kryvyi rih,city,Q157137,dnipropetrovsk region,vostok group of forces,0,33.3697346,47.9228867,592374289248273287
bohodukhiv,bogodukhov;bohodukhiv,town,Q889930,kharkiv region,sever group of forces,0,35.5247811,50.1584146,601975808899720621
pokrov,ordzhonikidze;pokrov,town,Q639476,dnipropetrovsk region,vostok group of forces,0,34.0852033,47.6530165,591215202129849939
snizhne,snezhnoe;snizhne,town,Q1749424,donetsk region,tsentr group of forces,0,38.7481053,48.0420724,592886184930825417
